Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tyrod Taylor\TaylTy00,BUF,20,36,233,0,0,2,8,42,75.3,4,1,0,5,0,0,0,0,0,1,0
LeSean McCoy\McCoLe01,BUF,0,0,0,0,0,0,0,0,,20,82,1,27,10,6,41,0,11,0,0
Karlos Williams\WillKa01,BUF,0,0,0,0,0,0,0,0,,6,11,0,5,0,0,0,0,0,1,0
Chris Hogan\HogaCh00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,95,0,42,0,0
Robert Woods\WoodRo02,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,44,0,18,0,0
Sammy Watkins\WatkSa00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,39,0,16,0,0
Charles Clay\ClayCh00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,14,0,14,0,0
Chris Gragg\GragCh00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tom Brady\BradTo00,NWE,20,39,277,1,1,1,6,41,72.3,0,0,0,0,0,0,0,0,0,0,0
LeGarrette Blount\BlouLe00,NWE,0,0,0,0,0,0,0,0,,16,56,0,17,2,1,5,0,5,0,0
Brandon Bolden\BoldBr00,NWE,0,0,0,0,0,0,0,0,,4,15,0,7,1,0,0,0,0,0,0
James White\WhitJa02,NWE,0,0,0,0,0,0,0,0,,2,14,1,8,3,2,32,1,20,0,0
Danny Amendola\AmenDa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,117,0,41,0,0
Brandon LaFell\LaFeBr00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,66,0,27,0,0
Rob Gronkowski\GronRo00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,37,0,27,0,0
Aaron Dobson\DobsAa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,17,0,17,0,0
Scott Chandler\ChanSc00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
Chris Harper\HarpCh01,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
