Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matthew Stafford\StafMa00,DET,27,45,264,1,1,1,13,27,74.7,3,9,1,6,0,0,0,0,0,1,1
Joique Bell\BellJo01,DET,0,0,0,0,0,0,0,0,,12,49,0,13,7,5,47,0,15,0,0
Mikel Leshoure\LeshMi00,DET,0,0,0,0,0,0,0,0,,14,49,0,9,0,0,0,0,0,0,0
Mike Thomas\ThomMi01,DET,0,0,0,0,0,0,0,0,,2,25,0,22,0,0,0,0,0,0,0
Stefan Logan\LogaSt00,DET,0,0,0,0,0,0,0,0,,1,3,0,3,1,1,4,0,4,0,0
Calvin Johnson\JohnCa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,13,10,118,0,20,0,0
Kris Durham\DurhKr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,54,0,27,0,0
Will Heller\HellWi00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,21,0,8,0,0
Tony Scheffler\ScheTo00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,10,3,20,1,13,0,0
Aaron Rodgers\RodgAa00,GNB,14,24,173,0,0,3,25,38,80.7,3,32,1,27,0,0,0,0,0,1,1
Alex Green\GreeAl00,GNB,0,0,0,0,0,0,0,0,,13,69,0,12,2,1,-3,0,-3,1,0
DuJuan Harris\HarrDu01,GNB,0,0,0,0,0,0,0,0,,7,31,1,14,0,0,0,0,0,0,0
Ryan Grant\GranRy00,GNB,0,0,0,0,0,0,0,0,,1,13,0,13,0,0,0,0,0,0,0
Randall Cobb\CobbRa00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,102,0,38,0,0
James Jones\JoneJa04,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,27,0,16,0,0
Greg Jennings\JennGr00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,27,0,27,0,0
Jermichael Finley\FinlJe00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,16,0,9,0,0
Jarrett Boykin\BoykJa00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Tom Crabtree\CrabTo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
John Kuhn\KuhnJo00,GNB,0,0,0,0,0,0,0,0,,1,-5,0,-5,1,0,0,0,0,0,0
