Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Kirk Cousins\CousKi00,WAS,41,53,449,3,0,0,0,67,120.7,1,2,0,2,0,0,0,0,0,1,0
Robert Kelley\KellRo00,WAS,0,0,0,0,0,0,0,0,,14,37,0,8,2,2,5,0,8,0,0
Chris Thompson\ThomCh03,WAS,0,0,0,0,0,0,0,0,,4,17,0,11,6,5,17,0,9,0,0
DeSean Jackson\JackDe00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,118,1,67,0,0
Jordan Reed\ReedJo02,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,12,10,95,2,33,0,0
Jamison Crowder\CrowJa00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,88,0,38,0,0
Vernon Davis\DaviVe00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,68,0,26,0,0
Pierre Garcon\GarcPi00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,43,0,27,0,0
Maurice Harris\HarrMa05,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,6,0,0
Derek Carrier\CarrDe00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Ryan Grant\GranRy01,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Dak Prescott\PresDa01,DAL,17,24,195,1,0,1,5,26,108.9,8,39,1,18,0,0,0,0,0,0,0
Ezekiel Elliott\ElliEz00,DAL,0,0,0,0,0,0,0,0,,20,97,2,21,2,2,23,0,19,0,0
Lucky Whitehead\WhitLu00,DAL,0,0,0,0,0,0,0,0,,1,15,0,15,0,0,0,0,0,0,0
Alfred Morris\MorrAl00,DAL,0,0,0,0,0,0,0,0,,1,12,0,12,0,0,0,0,0,0,0
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,72,0,26,0,0
Cole Beasley\BeasCo00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,56,0,18,0,0
Jason Witten\WittJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,33,0,21,0,0
Terrance Williams\WillTe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,1,10,0,0
Lance Dunbar\DunbLa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
Brice Butler\ButlBr00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
